locality_name,property_count,price_range,avg_price,avg_area,common_bhk,top_amenities,target_audience,locality_personality,avg_quality_score
"Palm Glory III, Chandkheda, Ahmedabad",5,₹0.63 Cr - ₹1.01 Cr,₹0.79 Cr,1836 sq ft,3 BHK,"hospital, garden, school","Middle-income families, Families with kids, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",46.2
"Godhavi, Ahmedabad",5,₹0.17 Cr - ₹1.40 Cr,₹0.48 Cr,1196 sq ft,1 BHK,"school, lift, park, power backup, parking","Students, Single professionals, First-time buyers, Budget-conscious, Families with kids","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",47.6
"Laxmi Sky City, Kathwada, Ahmedabad",5,₹0.45 Cr - ₹0.60 Cr,₹0.52 Cr,1250 sq ft,3 BHK,"park, garden","Middle-income families, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",49.0
"Surya Kutir, Naranpura, Ahmedabad",5,₹1.21 Cr - ₹1.30 Cr,₹1.26 Cr,2074 sq ft,3 BHK,"hospital, school","Upper-middle class, Families with kids, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",51.6
"Dharmadev Swaminarayan Park 2, Vasna, Ahmedabad",5,₹0.40 Cr - ₹0.65 Cr,₹0.53 Cr,491 sq ft,2 BHK,"park, metro, school, hospital, garden","Middle-income families, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",60.6
"North One, Ambli, Ahmedabad",5,₹2.75 Cr - ₹4.63 Cr,₹4.04 Cr,5594 sq ft,4 BHK,"shopping mall, hospital","High-income buyers, Large families","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",44.8
"Soham Dev Parijat, Vaishnodevi Circle, Ahmedabad",5,₹0.53 Cr - ₹0.87 Cr,₹0.60 Cr,1485 sq ft,3 BHK,"hospital, school, lake","Middle-income families, Families with kids, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",50.4
"Adani Pratham, Sarkhej Gandhinagar Highway, Ahmedabad",5,₹0.32 Cr - ₹0.81 Cr,₹0.53 Cr,780 sq ft,2 BHK,"hospital, lift, gated community, park, parking","Middle-income families, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",53.8
"Bakeri Shaunak Apartments, Vejalpur, Jivraj park, Ahmedabad",5,₹0.40 Cr - ₹0.55 Cr,₹0.46 Cr,644 sq ft,2 BHK,"hospital, park, school, garden","Families with kids, First-time buyers, Budget-conscious, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",53.0
"Shree Sarju Greens, Chandkheda, Ahmedabad",5,₹0.60 Cr - ₹0.72 Cr,₹0.65 Cr,988 sq ft,2 BHK,"hospital, garden, school, park","Middle-income families, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",57.2
"Isanpur, Ahmedabad",5,₹0.28 Cr - ₹0.83 Cr,₹0.42 Cr,888 sq ft,1 BHK,"hospital, school, park, garden, parking","Students, Single professionals, First-time buyers, Budget-conscious, Families with kids","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",60.4
"Setu Vertica, Gota, Ahmedabad",5,₹0.65 Cr - ₹0.90 Cr,₹0.72 Cr,1148 sq ft,2 BHK,"hospital, school, park, garden, parking","Middle-income families, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",58.6
"Safal Orchid Blues, Shela, Ahmedabad",5,₹0.52 Cr - ₹0.60 Cr,₹0.55 Cr,1010 sq ft,2 BHK,"school, garden, park, parking","Middle-income families, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",55.2
"Kavish Karnavati Enclave, New Maninagar, Ahmedabad",5,₹0.36 Cr - ₹0.50 Cr,₹0.44 Cr,1036 sq ft,2 BHK,"school, garden, park, parking","Families with kids, First-time buyers, Budget-conscious, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",49.0
"New CG Road, Ahmedabad",5,₹0.60 Cr - ₹1.15 Cr,₹0.91 Cr,1666 sq ft,3 BHK,"school, hospital, park, garden, lift","Middle-income families, Fitness enthusiasts, Families with kids, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",58.0
